Serial Number,Manufacturers Name,Business Name,Date Of Accident,Time Of Accident,Clock,Vehicle Year,Model,City,County,Driving Status,Pedestrian Involved,Bicyclist Involved,Other,Number Of Vehicles Involved,Damage: None,Damage: Minor,Damage: Moderate,Damage: Major,Model_2,Moving_2,Accident Detail Description,Weather Clear,Weather Cloudy,Weather Raining,Weather Snowing,Weather Fog,Weather Other,Weather Wind,Lighting Daylight,Lighting Dark-Dawn,Lighting Dark-Street lights,Lighting Dark-No street lights,Lighting  Dark-Street lights not functioning,Roadway Dry,Roadway Wet,Latitude,Longitude,Narrow Roadway,Parked Vehicles,Intersection,Struck by Others,Other Party
1,GM Cruise LLC,Cruise,01/10/2019,11:29,AM,2019,Bolt,San Francisco,San Francisco,Moving,,,,2,,Yes,,,Prius,Yes,"A Cruise autonomous vehicle (“Cruise AV”), operating in autonomous mode, was traveling northbound on South Van Ness Street near the Howard Street fork when another vehicle, turning right onto South Van Ness from Howard, made contact with the right rear corner of the Cruise AV, causing damage to the Cruise AV’s rear bumper.  There were no injuries and police were not called. ",Yes,,,,,,,Yes,,,,,,,37.7708195,-122.4174639,0,0,1,1,1
2,Waymo LLC,Waymo LLC,02/06/2019,09:08,AM,2017,Pacifica,Mountain View,Santa Clara,Stopped In Traffic,,,,2,,Yes,,,Lexus IS250,Yes,"Per the DMV's request of 02/21/2019, Waymo is resubmitting this OL316 so the DMV's digital version is compliant with accessibility requirements under AB 434. Waymo's original report was submitted on 02/14/2019.

A Waymo Autonomous Vehicle (“Waymo AV”) was stopped in autonomous mode in the slip-lane from northbound Shoreline Boulevard to northbound Central Expressway in Mountain View when it was rear-ended. The Waymo AV was yielding to approaching traffic from the left when a passenger vehicle rear-ended the Waymo AV while travelling approximately 4 MPH. The Waymo AV sustained minor damage to the rear bumper, and the passenger vehicle had minor damage to its front bumper. No injuries were reported at the scene but the two operators in the Waymo AV later reported minor headache and neck soreness. They sought medical attention and both were cleared to return to work.",,Yes,,,,,,Yes,,,,,Yes,,37.4056,-122.0775,0,0,1,1,1
3,Waymo LLC,Waymo LLC,2/26/2019,06:56,AM,2017,Pacifica,Los Altos,Santa Clara,Stopped In Traffic,,,,2,,,,Yes,Mazda 3,Yes,"A Waymo Autonomous Vehicle (“Waymo AV”) was stopped in autonomous mode at the intersection of Miramonte Avenue and Covington Road in Los Altos when it was involved in a collision. The Waymo AV was traveling northbound on Miramonte Avenue, when it reached a four-way stop sign intersection. The Waymo AV stopped to yield to another vehicle at the intersection, at which time a passenger vehicle rear-ended the Waymo AV at approximately 39 MPH. At the time of the collision the Waymo AV had been stopped for approximately 1.5 seconds. The Waymo AV sustained major damage to its rear bumper, rear hatch, and rear quarter panels, and the passenger vehicle sustained major damage to its front bumper, hood, and front quarter panels. First responders attended to the scene, but neither party reported injuries.",,Yes,,,,,,,Yes,,,,,Yes,37.3547,-122.0862,0,0,1,1,1
4,GM Cruise LLC,Cruise,2/27/2019,06:04,AM,2019,Bolt,San Francisco,San Francisco,Moving,,,,2,,Yes,,,Dodge Sprinter,Yes,"A Cruise autonomous vehicle (“Cruise AV”), operating in autonomous mode, was traveling southbound on Gough Street between Rose and Haight Streets when another vehicle, following closely behind the Cruise AV, made contact with the rear center bumper of the Cruise AV, damaging two fastening clips on the underside of the Cruise AV’s rear bumper. There were no injuries and police were not called.",Yes,,,,,,,,,Yes,,,Yes,,37.7813,-122.4167,-1,0,0,1,0
5,GM Cruise LLC,Cruise,03/08/2019,01:29,AM,2019,Bolt,San Francisco,San Francisco,Moving,,,,2,,Yes,,,Audi A4,Yes,"A Cruise autonomous vehicle (“Cruise AV”), operating in autonomous mode, was making a right turn from 16th Street onto northbound Guerrero Street when another vehicle, entering traffic from a curbside parked position on westbound 16th Street, made contact with the right rear corner of the Cruise AV, damaging the Cruise AV’s rear right bumper, wheel well, and rear parking sensor.  The driver of the other vehicle drove away without exchanging information. There were no injuries and police were not called.",Yes,,,,,,,,,Yes,,,Yes,,37.7725,-122.4147,-1,1,1,1,0
6,GM Cruise LLC,Cruise,3/23/2019,05:28,AM,2019,Bolt,San Francisco,San Francisco,Moving,,,,2,,Yes,,,Ford/ C-Max,Yes,"A Cruise autonomous vehicle (“Cruise AV”), operating in autonomous mode, was proceeding westbound on Eddy Street at the intersection with Leavenworth Street when another vehicle made contact with the center rear bumper of the Cruise AV, damaging the Cruise AV’s left center rear bumper and radar connector.  Police were not called and no injuries were reported at the scene by either party.  Both of the Cruise AV testers sitting in passenger seats later sought medical attention for neck stiffness.",Yes,,,,,,,,,Yes,,,Yes,,37.7917,-122.4186,-1,0,1,1,0
7,GM Cruise LLC,Cruise,04/10/2019,04:52,PM,2019,Bolt,San Francisco,San Francisco,Moving,,,,2,,Yes,,,Clarity,Yes,"A Cruise autonomous vehicle (“Cruise AV”), operating in autonomous mode, was approaching the intersection prior to making a left turn from southbound Lyon Street onto eastbound California Street when the Cruise AV yielded to an overtaking vehicle on its left proceeding straight on southbound Lyon. Once the overtaking vehicle completed its pass, the Cruise AV attempted to continue its left turn when another vehicle directly behind the Cruise AV, attempting to turn right on California, made contact with the Cruise AV’s right rear bumper, damaging the bumper. There were no injuries and police were not called.",Yes,,,,,,,Yes,,,,,Yes,,37.7819383,-122.4439014,-1,0,1,1,0
8,GM Cruise LLC,Cruise,05/02/2019,11:01,PM,2019,Bolt,San Francisco,San Francisco,Stopped In Traffic,,,,2,Yes,,,,Jetta,Yes,"A Cruise autonomous vehicle (“Cruise AV”), operating in autonomous mode, was stopped at a red light on eastbound 24th Street at the intersection with Potrero Avenue when another vehicle approaching from the rear did not come to a complete stop and made contact with the Cruise AV’s rear bumper. The driver of the other vehicle drove away without exchanging information. The Cruise AV tester sitting in the driver’s seat requested medical treatment and emergency services arrived on the scene. SFPD incident report number  was not available at the time of filing of this report.",Yes,,,,,,,,,Yes,,,Yes,,37.7533571,-122.4062489,0,0,1,1,0
9,GM Cruise LLC,Cruise,05/04/2019,10:56,PM,2019,Bolt,San Francisco,San Francisco,Moving,,,Skateboarder,1,,Yes,,,Unk,Yes,"A Cruise autonomous vehicle (“Cruise AV”), operating in autonomous mode, was traveling from southbound Steiner Street to southbound Sanchez Street via eastbound Duboce Avenue when a skateboarder traveling through the stop sign on eastbound Duboce made contact with the rear passenger door of the Cruise AV. The skateboarder left the scene without exchanging information. There were no injuries and police were not called.",Yes,,,,,,,,,Yes,,,Yes,,37.77493,-122.41942,-1,0,1,1,0
10,GM Cruise LLC,Cruise,05/08/2019,08:55,AM,2019,Bolt,San Francisco,San Francisco,Stopped In Traffic,,,,2,,Yes,,,unk.,Yes,"A Cruise autonomous vehicle (“Cruise AV”), operating in autonomous mode, was stopped at a red light on northbound Franklin Street at the intersection with Bay Street when a lane-splitting  motorcycle made contact with the Cruise AV’s front right articulating radar, damaging the cover. The motorcyclist did not stop. There were no injuries and police were not called.",,Yes,,,,,,Yes,,,,,Yes,,37.7999,-122.4342,-1,0,1,1,3
11,Waymo LLC,Waymo LLC,5/15/2019,06:08,AM,2017,Pacifica,Mountain View,Santa Clara,Stopped In Traffic,,,,2,,Yes,,,Mazda B2300,Yes,"A Waymo Autonomous Vehicle (“Waymo AV”) in autonomous mode was yielding to check for cross traffic while in the slip lane to turn from southbound Shoreline Boulevard to westbound El Camino Real in Mountain View when it was rear-ended by a passenger vehicle at approximately 5 MPH. The Waymo AV sustained minor damage to its rear bumper, and the passenger vehicle had minor damage to its front bumper. The two Waymo AV operators reported neck/back pain but declined medical attention at the scene.",,Yes,,,,,,Yes,,,,,Yes,,37.3893,-122.0783,0,0,1,1,1
